timesteps,time_elapsed,fps,policy_loss,value_loss,entropy,lr,ent_coef,wr_random,wr_heuristic
1110592,43.60028958320618,2536.496914520437,-0.0005295999331287425,0.9334641105598873,0.6017255100939009,0.00027542399999999997,0.4606784,0.43,0.29
1208896,84.24518060684204,2479.6195876756697,-0.0003889429125138122,0.9087234467267991,0.6016324037313461,0.00025084799999999997,0.4213568,0.39,0.27
1307200,123.8963212966919,2479.492504578523,-0.00033963826037506804,0.9146929508447648,0.6022278904914856,0.000226272,0.3820352,0.51,0.21
1405504,163.93669652938843,2473.5401443648498,-0.0005147746607417502,0.9180808907747269,0.6020223432779312,0.000201696,0.34271359999999995,0.46,0.22
1503808,204.5866208076477,2462.5657240493756,-0.00044829492338976706,0.9093515479564667,0.6021844178438187,0.00017711999999999998,0.303392,0.41,0.27
1602112,245.22505164146423,2455.3445741764135,-0.0006454375077737495,0.8695145618915557,0.601515502333641,0.000152544,0.2640704,0.44,0.25
1700416,286.08860540390015,2448.24850333047,-7.028318304719505e-05,0.8848982727527619,0.6017826855182647,0.000127968,0.22474880000000003,0.42,0.26
1811008,331.6780512332916,2445.166320123978,-0.00012639573305023077,0.8832265394926071,0.6020564711093903,0.00010032000000000002,0.180512,0.48,0.32
1909312,374.333370923996,2429.1502458235955,-0.0002407321608370694,0.8812772876024246,0.6019636744260788,7.574400000000001e-05,0.14119039999999994,0.5,0.2
2007616,415.7659616470337,2423.517298069292,-0.00018044332953024878,0.8713730609416962,0.6020083981752395,5.1168000000000036e-05,0.10186879999999998,0.52,0.27
