timesteps,time_elapsed,fps,policy_loss,value_loss,entropy,lr,ent_coef,wr_random,wr_heuristic
110592,43.81677269935608,2523.9649838844757,-0.0012994447906546863,1.3716477930545807,0.6007560518052842,0.00027542399999999997,0.4606784,0.46,0.28
208896,85.07169675827026,2455.528782899139,-0.0012348105935461717,1.0536974370479584,0.6009626871347428,0.00025084799999999997,0.4213568,0.46,0.17
307200,124.87659692764282,2460.0286006993024,-0.0008848701851366059,1.005882065296173,0.6012992054224015,0.000226272,0.3820352,0.49,0.21
405504,165.04323720932007,2456.956170132011,-0.0008708890667912784,0.9879907530546188,0.6011224263906478,0.000201696,0.34271359999999995,0.54,0.2
503808,204.20220804214478,2467.201529456627,-0.0005053098724238225,0.9688563829660416,0.601503769159317,0.00017711999999999998,0.303392,0.44,0.26
602112,245.34836173057556,2454.110537983528,-0.0003030401098294533,0.9491039288043975,0.6017104727029801,0.000152544,0.2640704,0.44,0.16
700416,287.3059356212616,2437.875146872416,-0.00012787547529413245,0.9487540543079376,0.6018887090682984,0.000127968,0.22474880000000003,0.41,0.32
811008,333.274240732193,2433.4553976276143,-0.0001438272849986788,0.9313483989238739,0.6015015411376953,0.00010032000000000002,0.180512,0.45,0.22
909312,374.2288393974304,2429.8287685795167,-0.0002617523296339641,0.9220486074686051,0.6018547594547272,7.574400000000001e-05,0.14119039999999994,0.39,0.24
1007616,415.80150961875916,2423.3101051601875,-0.00029605008010094027,0.9022542399168014,0.6016752451658249,5.1168000000000036e-05,0.10186879999999998,0.53,0.21
