timesteps,time_elapsed,fps,policy_loss,value_loss,entropy,lr,ent_coef,wr_random,wr_heuristic
3122880,54.39900279045105,2258.864936795676,-0.0006158868697457364,0.8460668861865998,0.6023537659645081,0.00027542399999999997,0.4606784,0.49,0.23
3221184,98.88679003715515,2236.7396081609445,-0.0005908489488623066,0.8529434647825029,0.6020776602956984,0.00025084799999999997,0.4213568,0.54,0.28
3319488,140.4368257522583,2274.9588527698725,-0.00046460189146728224,0.8506815034151077,0.6018175721168518,0.000226272,0.3820352,0.42,0.26
3417792,181.90612483024597,2296.7450952510903,-0.00030314262382376,0.8602323496341705,0.6018676000833512,0.000201696,0.34271359999999995,0.45,0.22
3516096,222.9941258430481,2314.392803168494,-0.0002172721908789299,0.8481713169813156,0.6019061803817749,0.00017711999999999998,0.303392,0.44,0.23
3614400,266.3347542285919,2306.8712972872772,-0.00026856511832193066,0.8538444304466247,0.6020033663511276,0.000152544,0.2640704,0.44,0.25
3712704,309.4893834590912,2302.838281669867,-0.00037161030640163516,0.849032175540924,0.6022104424238205,0.000127968,0.22474880000000003,0.48,0.21
3811008,351.52766513824463,2307.095800499959,-0.00021070167040761588,0.8503068399429321,0.6023789674043656,0.000103392,0.18542719999999996,0.4,0.28
3909312,393.4020051956177,2311.406622210398,-0.00035709208951175244,0.8554862558841705,0.6022216218709946,7.881600000000003e-05,0.1461056,0.43,0.28
4007616,436.29715847969055,2309.4718368350414,-0.00041215224015104466,0.8593295377492904,0.6017967104911804,5.4239999999999996e-05,0.10678399999999999,0.48,0.3
