#{"t_start": 1766930957.4524403, "env_id": "None"}
r,l,t
2.0,18,22.79232
2.0,22,22.83483
3.0,21,22.881549
-4.0,20,22.92233
-3.0,20,22.961018
-3.0,20,23.003278
-1.0,18,23.558231
3.0,20,23.600113
-5.0,18,23.632829
2.0,18,23.667721
2.0,19,23.710525
-2.0,21,23.756711
-3.0,18,23.795138
3.0,20,23.835931
5.0,18,23.872036
-1.0,18,23.908319
3.0,18,23.946379
4.0,18,23.982401
1.0,20,24.02949
3.0,24,24.080581
4.0,18,24.639211
-2.0,20,24.682079
5.0,18,24.722228
0.0,18,24.764717
2.0,20,24.804737
0.0,22,24.851947
4.0,18,24.889199
0.0,18,24.922406
-2.0,20,24.968072
3.0,21,25.01024
-3.0,18,25.05153
3.0,18,25.091545
3.0,18,25.122101
-4.0,18,25.664481
3.0,22,25.708349
1.0,22,25.758179
-1.0,18,25.796453
-4.0,22,25.838962
2.0,18,25.881323
-3.0,18,25.913787
4.0,23,25.960902
1.0,18,25.994416
-1.0,18,26.039193
1.0,19,26.079578
4.0,18,26.118012
-2.0,18,26.155787
3.0,18,26.712357
-3.0,21,26.762712
3.0,18,26.799903
1.0,18,26.832087
0.0,18,26.872262
-4.0,18,26.908168
-2.0,18,26.947367
4.0,21,26.995138
-4.0,21,27.041636
1.0,18,27.081048
-2.0,18,27.117668
4.0,18,27.145589
-4.0,18,27.193021
-2.0,18,27.224182
-2.0,21,27.779218
-3.0,18,27.808248
-2.0,18,27.849742
5.0,18,27.889179
-4.0,19,27.928326
2.0,20,28.003542
-1.0,18,28.061672
4.0,18,28.10269
-2.0,18,28.139146
5.0,18,28.178607
2.0,18,28.210426
-2.0,18,28.252416
-2.0,21,28.295671
4.0,20,28.337357
0.0,18,28.903469
0.0,20,28.939152
3.0,18,28.982654
3.0,25,29.036929
2.0,18,29.077994
-4.0,21,29.118021
0.0,20,29.162839
-2.0,20,29.208151
2.0,18,29.241714
-1.0,19,29.281975
4.0,20,29.322378
-4.0,19,29.35838
-1.0,18,29.401033
0.0,18,29.951
-7.0,20,29.989296
0.0,20,30.036413
-3.0,18,30.074655
2.0,23,30.122183
-2.0,18,30.15839
3.0,18,30.193638
1.0,18,30.232377
-4.0,18,30.272244
-3.0,18,30.308126
-1.0,21,30.352332
-3.0,20,30.393164
-4.0,18,30.432316
-4.0,18,30.972385
1.0,18,31.008
-2.0,20,31.058849
3.0,20,31.099957
1.0,22,31.143609
0.0,18,31.18207
-4.0,19,31.222162
1.0,18,31.258042
-2.0,18,31.29198
-1.0,20,31.339288
-3.0,18,31.37554
3.0,18,31.415805
-4.0,20,31.459593
-4.0,21,31.502739
0.0,18,32.044517
4.0,20,32.08758
4.0,18,32.122055
-1.0,18,32.163562
6.0,18,32.199106
1.0,21,32.239252
0.0,18,32.280865
-1.0,18,32.318012
-4.0,18,32.354105
3.0,18,32.394415
-5.0,18,32.429355
2.0,19,32.468058
-4.0,18,32.502009
2.0,19,33.045629
0.0,18,33.086142
-2.0,18,33.122077
-3.0,18,33.158229
-2.0,18,33.19549
3.0,18,33.232252
-1.0,20,33.277488
3.0,18,33.30808
4.0,18,33.345932
0.0,21,33.391474
1.0,21,33.43541
-2.0,18,33.472316
-1.0,18,33.508929
1.0,18,33.539891
4.0,18,34.096929
-2.0,18,34.133893
3.0,18,34.172283
4.0,20,34.212639
4.0,18,34.244463
-3.0,20,34.294828
-1.0,18,34.331212
2.0,18,34.369623
-3.0,18,34.408353
3.0,18,34.447346
3.0,18,34.482059
-3.0,18,34.522416
-2.0,18,34.558261
-1.0,18,34.595629
0.0,21,35.158433
-4.0,18,35.197085
4.0,20,35.23917
-4.0,18,35.276795
0.0,18,35.316042
-5.0,18,35.358129
0.0,18,35.408386
2.0,20,35.454933
0.0,18,35.494305
3.0,20,35.532325
0.0,18,35.572786
4.0,18,35.60803
-4.0,18,35.639248
4.0,18,35.683813
1.0,18,36.293941
2.0,20,36.339262
