#{"t_start": 1766930957.4524403, "env_id": "None"}
r,l,t
2.0,19,96.280573
-3.0,20,96.319908
-7.0,18,96.889218
-3.0,18,96.92226
-4.0,18,96.958129
-1.0,20,97.00397
-5.0,18,97.045061
2.0,18,97.085619
-3.0,20,97.124549
-2.0,18,97.167822
-4.0,19,97.208218
0.0,20,97.249306
1.0,20,97.289331
-1.0,18,97.330925
4.0,20,97.37336
-1.0,20,97.41569
-2.0,18,97.95802
2.0,19,97.999456
4.0,18,98.043561
-3.0,18,98.094471
-2.0,20,98.17885
0.0,20,98.220766
1.0,20,98.258168
-1.0,18,98.300081
-1.0,20,98.339081
-4.0,18,98.378944
2.0,18,98.421423
2.0,21,98.460119
-2.0,18,98.501205
0.0,21,99.061651
-4.0,18,99.098483
-4.0,18,99.134775
0.0,18,99.172182
-2.0,18,99.2098
-3.0,18,99.248473
4.0,18,99.283454
-2.0,21,99.322113
-3.0,18,99.367824
3.0,20,99.412512
-4.0,18,99.451863
4.0,20,99.490986
-2.0,18,99.530419
0.0,20,99.57052
4.0,20,100.132072
5.0,21,100.17331
4.0,18,100.212509
5.0,20,100.258169
6.0,18,100.307333
-4.0,18,100.349613
-1.0,20,100.393275
4.0,20,100.438322
0.0,18,100.472183
3.0,20,100.518528
-3.0,19,100.558066
-2.0,18,100.591618
-2.0,19,100.633863
-2.0,18,101.196501
2.0,18,101.23191
-2.0,18,101.270198
-4.0,18,101.30168
0.0,21,101.339282
3.0,18,101.387535
-4.0,20,101.430392
4.0,20,101.472323
0.0,21,101.509305
-6.0,18,101.55115
0.0,18,101.592439
-3.0,18,101.629807
0.0,18,101.667953
-4.0,20,101.708244
3.0,20,102.252081
1.0,21,102.299027
0.0,18,102.339203
-3.0,18,102.37813
4.0,21,102.42589
-1.0,19,102.462217
0.0,18,102.493328
-4.0,18,102.539838
-2.0,22,102.588948
4.0,18,102.622469
-5.0,20,102.668073
2.0,18,102.700674
1.0,18,102.744008
-4.0,18,103.292357
4.0,22,103.339756
0.0,18,103.372261
2.0,18,103.420196
0.0,20,103.462105
4.0,18,103.498714
0.0,23,103.542446
3.0,18,103.582067
1.0,21,103.631342
-2.0,18,103.667684
-1.0,20,103.700552
4.0,18,103.747269
-2.0,18,103.786314
4.0,24,104.341789
3.0,18,104.382191
2.0,18,104.42085
2.0,21,104.463018
-1.0,22,104.510264
4.0,21,104.542318
-1.0,20,104.58978
1.0,18,104.622263
3.0,18,104.658251
0.0,18,104.702018
0.0,20,104.746287
-4.0,20,104.788994
4.0,18,104.822047
1.0,18,104.863628
-4.0,18,105.414108
-4.0,20,105.455805
2.0,18,105.493313
-4.0,18,105.53037
-1.0,18,105.56771
0.0,18,105.603977
4.0,18,105.643475
-2.0,18,105.682187
-1.0,20,105.723501
-4.0,18,105.762133
3.0,18,105.797792
2.0,21,105.842785
1.0,19,105.87396
-2.0,18,106.42416
1.0,21,106.468111
0.0,18,106.501672
-3.0,20,106.54247
-1.0,22,106.589529
2.0,18,106.632079
-2.0,21,106.678068
-1.0,18,106.715478
0.0,18,106.754796
-2.0,20,106.796228
2.0,22,106.843702
-1.0,20,106.882068
5.0,20,106.923036
0.0,22,107.482017
-2.0,18,108.07935
4.0,21,108.122476
-3.0,19,108.158439
-3.0,18,108.199647
-3.0,18,108.232401
-1.0,21,108.278211
-1.0,18,108.309908
0.0,20,108.358274
-4.0,18,108.394901
5.0,18,108.4324
4.0,19,108.472452
4.0,20,108.510936
2.0,20,108.553271
3.0,20,109.108236
4.0,20,109.141523
-1.0,18,109.186029
-3.0,19,109.226007
-2.0,18,109.262432
1.0,18,109.294157
3.0,18,109.339158
3.0,18,109.373664
-7.0,18,109.416511
-4.0,18,109.456222
-1.0,22,109.495418
-4.0,20,109.539235
-2.0,18,109.574245
0.0,18,110.12242
-4.0,18,110.159622
-4.0,18,110.201412
-5.0,18,110.239075
-4.0,18,110.275148
-3.0,18,110.312432
-2.0,19,110.344368
2.0,18,110.393385
1.0,20,110.438096
-2.0,18,110.472403
0.0,18,110.511891
-2.0,20,110.543695
4.0,20,110.591131
2.0,20,110.632797
4.0,23,111.202728
1.0,18,111.239258
4.0,20,111.281477
1.0,20,111.317736
-1.0,18,111.358021
0.0,18,111.396214
-4.0,18,111.435819
-3.0,18,111.47471
3.0,23,111.517933
0.0,20,111.560091
-2.0,18,111.591567
-1.0,20,111.638918
-1.0,18,111.672057
-1.0,20,112.219568
-2.0,18,112.258165
3.0,18,112.292727
1.0,20,112.332305
2.0,18,112.372272
2.0,20,112.415942
-1.0,18,112.454532
-4.0,18,112.489182
0.0,18,112.528685
-3.0,18,112.561551
-4.0,18,112.592474
4.0,18,112.640258
5.0,18,112.678631
-4.0,19,112.722046
0.0,18,113.272408
2.0,18,113.308122
-2.0,20,113.346643
0.0,18,113.390984
-2.0,20,113.435447
2.0,20,113.472324
-4.0,18,113.51396
-2.0,20,113.545434
-3.0,18,113.593005
4.0,21,113.632526
2.0,18,113.672932
0.0,18,113.708245
2.0,18,113.749068
3.0,18,113.786724
-4.0,18,114.339173
-1.0,21,114.387413
3.0,18,114.424213
4.0,20,114.467814
-4.0,18,114.496636
2.0,21,114.544131
-2.0,18,114.582283
2.0,19,114.618057
2.0,18,114.65811
-5.0,20,114.691716
-2.0,18,114.740679
0.0,18,114.780916
2.0,20,114.81799
1.0,20,115.36815
-4.0,18,115.407272
0.0,18,115.44765
0.0,18,115.482031
0.0,21,115.530773
5.0,18,115.567821
2.0,22,115.608332
-4.0,18,115.649641
-6.0,18,115.686968
1.0,18,115.724612
0.0,18,115.764611
1.0,21,115.810636
-4.0,21,115.847121
4.0,21,116.385045
2.0,20,116.430886
3.0,22,116.47241
4.0,21,116.518652
2.0,20,116.558184
-2.0,18,116.59788
4.0,20,116.638955
-4.0,18,116.67746
-2.0,18,116.708754
-2.0,21,116.76059
4.0,18,116.798609
1.0,18,116.833022
4.0,18,116.872332
-2.0,18,116.9109
3.0,23,117.482274
0.0,19,117.52231
2.0,18,117.558157
0.0,18,117.597644
-2.0,20,117.638972
4.0,25,117.693287
-4.0,18,117.730588
4.0,20,117.77432
-4.0,18,117.808321
0.0,18,117.848819
0.0,18,117.882155
-3.0,20,117.922442
0.0,18,117.959852
-1.0,19,118.50197
-2.0,18,118.539197
-5.0,20,118.581739
-1.0,18,118.61788
-4.0,20,118.6608
1.0,18,118.691838
2.0,18,118.738128
-3.0,18,118.776961
3.0,18,118.808326
1.0,20,118.858607
-2.0,20,118.894948
2.0,19,118.9393
-4.0,18,118.973018
-3.0,18,119.007981
1.0,21,119.589162
-3.0,18,119.628302
-5.0,18,119.660582
-1.0,18,119.691992
0.0,18,119.739638
0.0,19,119.780588
1.0,18,119.818537
-1.0,18,119.858007
1.0,20,119.896866
1.0,22,119.943846
-1.0,18,119.982242
5.0,21,120.025706
3.0,19,120.066784
0.0,18,120.617929
2.0,20,120.658066
1.0,23,120.702374
-4.0,21,120.753893
0.0,20,120.794652
-1.0,18,120.831947
1.0,18,120.86773
3.0,21,120.908322
3.0,18,120.943973
-1.0,18,120.986019
-1.0,18,121.02246
-2.0,18,121.062401
-3.0,18,121.095509
-3.0,23,121.632363
0.0,18,121.674991
0.0,18,121.708382
5.0,21,121.758209
-1.0,18,121.797784
3.0,18,121.833808
6.0,18,121.868041
-1.0,18,121.896556
4.0,21,121.950903
-2.0,18,121.985914
-4.0,18,122.028427
2.0,18,122.066653
0.0,21,122.111115
0.0,18,122.143038
5.0,18,122.693604
-4.0,18,122.736902
-2.0,18,122.776397
2.0,18,122.812884
-2.0,18,122.850387
3.0,20,122.889036
-2.0,18,122.929362
2.0,18,122.96075
0.0,20,123.008934
1.0,18,123.049321
5.0,20,123.090436
-4.0,18,123.130521
-2.0,18,123.167963
-4.0,18,123.202571
-1.0,18,123.776636
1.0,18,123.808257
0.0,19,123.85055
-2.0,18,123.889068
-2.0,21,123.932298
0.0,22,123.976198
-2.0,18,124.016093
1.0,20,124.056746
-1.0,18,124.093614
0.0,23,124.144027
-3.0,18,124.182106
-4.0,18,124.22235
1.0,18,124.258245
2.0,18,124.808094
-2.0,20,124.846017
3.0,18,124.883567
-2.0,18,124.92203
0.0,18,124.958127
3.0,18,124.994734
0.0,19,125.043053
4.0,18,125.081352
3.0,18,125.132041
5.0,18,125.180452
-3.0,18,125.233388
-1.0,18,125.282067
1.0,18,125.322411
0.0,18,125.369801
2.0,18,126.024439
3.0,20,126.076104
-2.0,18,126.127409
-4.0,18,126.181384
0.0,18,126.224895
0.0,20,126.268158
-2.0,20,126.308235
-1.0,19,126.358593
-3.0,18,126.408304
2.0,18,126.462205
-2.0,18,126.508262
4.0,18,126.552208
2.0,19,126.614064
2.0,18,126.658451
5.0,18,127.316833
0.0,20,127.358033
0.0,18,127.410608
-6.0,18,127.455464
1.0,20,127.489356
4.0,18,127.532098
2.0,20,127.572354
5.0,18,127.608325
3.0,20,127.648117
2.0,18,127.688988
0.0,18,127.730766
0.0,18,127.769239
-1.0,21,127.808003
0.0,20,128.36008
0.0,18,128.397694
-2.0,18,128.440665
4.0,18,128.481554
1.0,21,128.525034
-3.0,18,128.572501
2.0,20,128.625617
-4.0,18,128.679645
-1.0,20,128.728657
0.0,21,128.785068
0.0,19,128.829051
-4.0,18,128.867295
4.0,19,128.910409
3.0,18,128.946458
-3.0,18,129.54234
4.0,20,129.589182
0.0,18,129.622059
-3.0,18,129.658031
3.0,20,129.706272
3.0,18,129.74315
1.0,20,129.787304
4.0,18,129.824012
4.0,18,129.858051
-4.0,18,129.891585
3.0,18,129.933971
-3.0,18,129.976192
-5.0,18,130.014431
-4.0,18,130.053982
3.0,18,130.601697
4.0,18,130.639019
-4.0,18,130.679534
2.0,20,130.71785
0.0,20,130.765276
3.0,18,130.802827
0.0,18,130.839176
-2.0,21,130.88193
1.0,18,130.92249
4.0,18,130.965343
-1.0,20,131.012265
4.0,18,131.054532
3.0,18,131.091368
3.0,20,131.132318
4.0,19,131.689016
4.0,21,131.734217
-2.0,18,131.772519
1.0,20,131.808126
-3.0,20,131.855937
-3.0,18,131.889331
1.0,18,131.932366
3.0,18,131.967994
5.0,26,132.025516
-1.0,20,132.069308
3.0,18,132.0999
1.0,20,132.146332
4.0,18,132.182898
-2.0,18,132.722233
5.0,18,132.763385
4.0,19,132.793511
2.0,18,132.834514
3.0,18,132.872457
-2.0,18,132.908334
4.0,22,132.95806
3.0,18,132.998245
3.0,23,133.052161
0.0,23,133.100291
-4.0,18,133.13911
-5.0,18,133.173475
0.0,21,133.222391
-3.0,18,133.779223
3.0,18,133.80983
-5.0,20,133.857379
2.0,21,133.899449
2.0,18,133.936552
0.0,20,133.972526
1.0,18,134.008237
4.0,18,134.053293
-4.0,18,134.091299
5.0,22,134.139225
6.0,18,134.173967
5.0,20,134.21774
1.0,18,134.253294
3.0,18,134.794929
-1.0,18,134.842124
3.0,21,134.884094
-2.0,20,134.922062
-4.0,20,134.969468
3.0,22,135.017052
-1.0,19,135.056323
1.0,18,135.094669
2.0,20,135.132461
-3.0,18,135.172269
0.0,18,135.208178
-2.0,18,135.243744
0.0,18,135.28424
-5.0,22,135.330855
-4.0,20,135.892443
-3.0,18,135.93563
-2.0,18,135.972292
2.0,20,136.008064
2.0,18,136.05262
0.0,18,136.091347
-2.0,18,136.127209
0.0,18,136.16358
1.0,18,136.204269
1.0,18,136.242891
1.0,18,136.274241
1.0,20,136.318119
0.0,19,136.358059
-3.0,18,136.951569
1.0,18,136.989028
-2.0,18,137.029541
-2.0,18,137.069722
0.0,18,137.10183
2.0,18,137.139209
-4.0,20,137.184829
1.0,19,137.222085
-4.0,18,137.260969
3.0,18,137.293499
4.0,18,137.335311
-4.0,18,137.372352
1.0,21,137.418967
1.0,20,137.461841
2.0,18,137.995367
-3.0,21,138.046219
-3.0,20,138.088908
4.0,18,138.127255
4.0,18,138.163738
3.0,18,138.201326
-4.0,21,138.242434
0.0,21,138.285464
0.0,20,138.330471
0.0,18,138.367764
-4.0,18,138.40637
0.0,18,138.444483
2.0,20,138.485423
0.0,18,138.522063
-2.0,18,139.070056
-4.0,18,139.108452
4.0,19,139.149528
-4.0,18,139.187478
-1.0,18,139.222616
1.0,20,139.260023
-4.0,18,139.291726
0.0,20,139.33899
3.0,20,139.385187
-2.0,18,139.42473
-1.0,18,139.462763
-3.0,18,139.493591
-1.0,18,139.538938
0.0,18,140.078471
4.0,18,140.10818
1.0,21,140.149614
4.0,20,140.19686
-3.0,18,140.239344
0.0,18,140.276239
-3.0,19,140.318463
0.0,18,140.349594
-4.0,20,140.395292
3.0,20,140.439369
0.0,18,140.478878
-3.0,18,140.510849
0.0,18,140.552735
1.0,18,140.589958
-4.0,18,141.134737
-3.0,18,141.17223
4.0,18,141.208152
3.0,23,141.261452
3.0,24,141.308352
5.0,18,141.347588
3.0,21,141.391867
-2.0,18,141.430523
-3.0,20,141.472362
2.0,22,141.52115
4.0,18,141.558314
-6.0,18,141.593359
0.0,20,141.637204
-4.0,20,142.17206
1.0,18,142.214839
2.0,20,142.248184
-4.0,21,142.29545
-3.0,18,142.332142
-1.0,21,142.380694
1.0,20,142.423934
4.0,18,142.463438
-2.0,20,142.495204
-1.0,21,142.542689
-1.0,19,142.58676
4.0,18,142.622192
4.0,20,142.658335
-4.0,18,143.208236
3.0,20,143.248986
4.0,19,143.289
-3.0,20,143.328626
0.0,21,143.372189
2.0,18,143.412845
-1.0,23,143.461514
-2.0,18,143.497682
4.0,18,143.532791
-3.0,18,143.572459
-2.0,18,143.608098
2.0,24,143.660267
4.0,18,143.697616
-1.0,18,144.251778
3.0,18,144.288961
-3.0,19,144.328195
2.0,18,144.367718
-1.0,18,144.403724
-2.0,20,144.447032
2.0,24,144.496294
-1.0,18,144.534228
1.0,21,144.576496
4.0,18,144.608755
-1.0,18,144.655206
4.0,20,144.68891
-2.0,20,144.739844
-4.0,18,144.780462
2.0,18,145.328192
4.0,19,145.368097
4.0,22,145.416731
-1.0,22,145.463692
2.0,18,145.497165
0.0,18,145.5392
0.0,18,145.576176
-4.0,21,145.617983
-3.0,18,145.65831
-1.0,18,145.689168
4.0,18,145.737186
0.0,18,145.775993
2.0,18,145.814866
0.0,18,146.343405
1.0,20,146.385032
3.0,18,146.425733
-4.0,18,146.462813
3.0,21,146.497149
3.0,18,146.544501
-2.0,18,146.582211
-3.0,18,146.617813
-2.0,18,146.655124
4.0,18,146.689578
1.0,18,146.732783
-1.0,23,146.780502
2.0,18,146.817729
-3.0,18,146.847062
0.0,20,147.425128
-4.0,19,147.464578
4.0,24,147.513084
-2.0,18,147.544777
4.0,18,147.586722
3.0,18,147.62411
-2.0,18,147.657973
0.0,18,147.692787
-2.0,18,147.739634
0.0,23,147.789603
0.0,18,147.824816
-4.0,20,147.868088
-2.0,18,147.904552
0.0,18,148.472229
-4.0,18,148.50818
-4.0,20,148.550854
-4.0,18,148.591495
3.0,21,148.632075
-5.0,19,148.679787
1.0,20,148.720191
-4.0,21,148.764613
2.0,20,148.800277
-4.0,18,148.838984
2.0,19,148.882065
0.0,18,148.922167
0.0,18,148.958756
1.0,20,149.005324
-2.0,18,149.561067
-1.0,18,149.595741
5.0,20,149.639926
1.0,20,149.682326
7.0,18,149.720363
-3.0,19,149.760859
-3.0,23,149.808293
5.0,18,149.846966
-4.0,18,149.882298
5.0,20,149.926455
1.0,18,149.958122
4.0,20,150.005124
-1.0,18,150.043732
-3.0,21,150.60832
4.0,19,150.642497
1.0,18,150.682179
-4.0,18,150.72329
-3.0,18,150.760498
2.0,18,150.796354
2.0,22,150.839053
-4.0,25,150.892075
4.0,18,150.9263
2.0,20,150.968149
-3.0,21,151.008299
-4.0,18,151.055208
-5.0,18,151.093309
3.0,20,151.659819
0.0,19,151.697942
2.0,21,151.749332
3.0,21,151.795883
2.0,18,151.832145
4.0,18,151.868039
4.0,21,151.912276
-1.0,18,151.943642
0.0,18,151.985127
-2.0,18,152.018092
-3.0,18,152.059022
-4.0,18,152.094931
-6.0,20,152.132265
-4.0,18,152.172374
-1.0,18,152.71253
-5.0,18,152.756945
3.0,18,152.796388
0.0,18,152.831985
0.0,18,152.87328
-3.0,20,152.913678
0.0,18,152.952888
-4.0,19,152.989027
-1.0,18,153.031671
1.0,18,153.0703
0.0,18,153.094786
-4.0,18,153.141857
1.0,18,153.180566
0.0,18,153.218035
-3.0,18,153.754772
4.0,20,153.796126
4.0,18,153.832179
-2.0,18,153.867855
-3.0,18,153.895688
-1.0,21,153.949566
-1.0,20,153.99
-2.0,20,154.035084
3.0,18,154.072069
3.0,19,154.110888
-4.0,18,154.15034
-1.0,18,154.184803
-3.0,18,154.222804
4.0,18,154.776084
0.0,18,154.808212
-3.0,18,154.85043
3.0,18,154.882283
-1.0,18,154.922436
0.0,18,154.960667
0.0,18,154.99519
0.0,18,155.035647
-4.0,19,155.076597
2.0,18,155.112905
0.0,18,155.143535
4.0,18,155.190558
-4.0,18,155.222601
-1.0,18,155.264616
0.0,18,155.824304
1.0,18,155.865204
-5.0,18,155.896177
1.0,18,155.938913
-1.0,19,155.97572
-3.0,18,156.018158
4.0,18,156.058566
-5.0,18,156.096499
-3.0,18,156.141944
5.0,18,156.189341
4.0,20,156.236773
-4.0,18,156.272443
-2.0,18,156.308132
1.0,20,156.34719
1.0,18,156.898431
-2.0,18,156.931983
4.0,18,156.972035
3.0,18,157.009947
-2.0,18,157.050847
2.0,18,157.09023
-1.0,20,157.13218
2.0,18,157.168122
-1.0,18,157.208218
3.0,20,157.23917
-3.0,18,157.28927
-4.0,18,157.322024
-1.0,18,157.365805
-2.0,18,157.403095
-1.0,18,157.961633
1.0,21,157.996632
3.0,20,158.048698
5.0,18,158.087011
-5.0,18,158.122215
4.0,23,158.172273
-2.0,18,158.208418
0.0,18,158.23951
-3.0,18,158.282037
0.0,18,158.318543
1.0,18,158.358279
-4.0,18,158.398529
2.0,18,158.439332
1.0,18,158.472453
3.0,21,159.032549
0.0,18,159.068984
-2.0,18,159.097662
-1.0,20,159.144596
-4.0,18,159.182252
0.0,18,159.223734
-4.0,18,159.258311
-1.0,18,159.297153
-3.0,18,159.334663
-2.0,20,159.372183
0.0,20,159.421667
2.0,18,159.45822
2.0,24,159.508089
1.0,18,160.048748
0.0,18,160.086729
-2.0,18,160.122489
4.0,20,160.159946
3.0,18,160.201276
0.0,18,160.239022
-2.0,18,160.272295
2.0,18,160.308172
2.0,20,160.349393
1.0,26,160.408347
-3.0,20,160.450392
1.0,18,160.483675
-1.0,18,160.525988
4.0,18,160.558241
-4.0,20,161.117973
0.0,19,161.155214
-2.0,19,161.192193
1.0,18,161.234652
-4.0,20,161.272107
-1.0,18,161.308126
4.0,19,161.351482
-1.0,20,161.392459
-2.0,18,161.431286
2.0,20,161.472365
2.0,18,161.508247
-1.0,18,161.546256
2.0,20,161.583267
4.0,18,162.132011
-5.0,18,162.177235
0.0,19,162.218014
2.0,18,162.255942
1.0,18,162.293066
4.0,18,162.33053
-1.0,19,162.372316
2.0,20,162.413846
0.0,18,162.450197
4.0,18,162.481933
-4.0,18,162.522461
1.0,18,162.560987
-3.0,20,162.600437
4.0,22,162.647948
0.0,18,163.189285
2.0,20,163.230574
-2.0,18,163.268152
1.0,18,163.303077
-4.0,18,163.338957
0.0,18,163.381343
2.0,18,163.42006
0.0,18,163.455911
-4.0,24,163.501681
4.0,22,163.543315
0.0,18,163.585614
-3.0,20,163.626229
2.0,25,163.679069
-2.0,18,164.218228
1.0,21,164.258094
-3.0,18,164.290137
0.0,18,164.338161
0.0,18,164.372347
-2.0,21,164.419127
3.0,24,164.468005
1.0,18,164.504931
5.0,22,164.552501
0.0,18,164.59074
2.0,18,164.627842
4.0,19,164.667697
0.0,20,164.710351
-4.0,20,165.256096
5.0,20,165.289145
1.0,20,165.336829
-4.0,18,165.372219
-4.0,18,165.415012
2.0,18,165.451901
4.0,18,165.489126
-1.0,20,165.531327
3.0,18,165.570016
0.0,18,165.606744
-1.0,18,165.639189
4.0,22,165.68916
-3.0,20,165.722266
-2.0,18,165.766358
2.0,19,166.308304
1.0,18,166.339159
-1.0,20,166.389318
2.0,18,166.429231
4.0,20,166.469801
5.0,20,166.508212
-4.0,18,166.538927
-5.0,18,166.589166
3.0,18,166.62228
2.0,20,166.666259
4.0,18,166.704847
-4.0,18,166.743741
4.0,21,166.786387
0.0,18,167.314338
-1.0,18,167.35169
-4.0,18,167.39064
-4.0,22,167.43802
4.0,20,167.480648
-4.0,18,167.518195
5.0,18,167.555183
0.0,18,167.588915
-2.0,20,167.632455
4.0,18,167.672276
-1.0,18,167.708288
3.0,18,167.75082
-3.0,18,167.78897
-2.0,20,167.831976
-4.0,20,168.387603
1.0,18,168.42607
4.0,18,168.463934
4.0,18,168.492214
4.0,20,168.539933
1.0,20,168.582158
4.0,23,168.631421
-4.0,18,168.668025
-2.0,18,168.7051
0.0,20,168.748601
-1.0,18,168.787615
-3.0,18,168.822187
0.0,20,168.85882
-2.0,18,169.406244
4.0,18,169.445302
0.0,18,169.481981
2.0,18,169.518272
-2.0,18,169.556041
-2.0,18,169.589347
-4.0,18,169.63065
-3.0,18,169.65814
4.0,18,169.698798
2.0,18,169.741236
4.0,22,169.785815
-1.0,18,169.822133
1.0,21,169.85839
3.0,21,169.90842
3.0,20,170.461502
-1.0,18,170.491996
-3.0,18,170.53436
3.0,19,170.572194
-4.0,18,170.607977
2.0,21,170.65798
2.0,22,170.70818
-1.0,18,170.746357
2.0,20,170.787601
-4.0,18,170.82219
-1.0,18,170.858066
-1.0,18,170.900142
-1.0,18,170.932316
-1.0,18,170.972221
0.0,19,171.572523
-3.0,21,171.618086
-5.0,25,171.658395
-1.0,18,171.699566
-2.0,18,171.744158
3.0,18,171.782015
4.0,18,171.817881
4.0,20,171.858116
-2.0,20,171.905292
3.0,18,171.941579
0.0,21,171.983706
4.0,18,172.022098
-1.0,18,172.062152
3.0,18,172.603965
1.0,18,172.639186
-4.0,18,172.680291
-4.0,18,172.717731
1.0,18,172.757857
2.0,18,172.796284
2.0,20,172.832237
-3.0,24,172.882322
3.0,18,172.918067
-4.0,18,172.956328
3.0,19,172.989294
-4.0,18,173.032064
4.0,18,173.072822
5.0,18,173.109565
-2.0,19,173.650522
0.0,18,173.693455
0.0,20,173.750519
4.0,18,173.790597
1.0,18,173.832007
0.0,18,173.872512
-4.0,18,173.910167
3.0,18,173.958003
-4.0,18,174.008382
-1.0,18,174.055649
4.0,20,174.10816
0.0,18,174.142782
-2.0,18,174.182312
4.0,22,174.812388
-2.0,18,174.846483
-4.0,18,174.892529
-2.0,18,174.932454
1.0,18,174.972584
-3.0,20,175.028846
-4.0,20,175.074437
4.0,19,175.112352
4.0,19,175.150299
1.0,20,175.199574
1.0,24,175.261993
3.0,18,175.299716
4.0,18,175.341856
2.0,19,175.388253
1.0,19,175.972379
-3.0,18,176.01224
3.0,20,176.056047
0.0,21,176.10126
-2.0,18,176.139158
4.0,19,176.17716
4.0,20,176.222375
3.0,21,176.265796
-3.0,18,176.293862
2.0,19,176.341583
4.0,21,176.383879
-1.0,20,176.428036
4.0,18,176.46386
2.0,18,177.085052
-2.0,18,177.122342
4.0,18,177.172507
-2.0,18,177.2134
-1.0,18,177.258517
-2.0,18,177.313709
2.0,18,177.34321
-3.0,19,177.388995
-4.0,18,177.430416
1.0,18,177.468138
0.0,21,177.512072
0.0,18,177.548896
3.0,18,177.58642
2.0,18,177.623933
2.0,18,178.16969
-4.0,18,178.208417
0.0,24,178.258224
0.0,22,178.296035
4.0,22,178.343592
3.0,18,178.382123
-1.0,20,178.428914
-5.0,18,178.464431
4.0,18,178.496337
0.0,18,178.539311
5.0,18,178.576288
0.0,18,178.613999
2.0,18,178.654067
-4.0,20,179.218695
5.0,21,179.258244
0.0,20,179.297138
0.0,18,179.338997
-1.0,18,179.375799
-3.0,21,179.424345
3.0,21,179.468055
0.0,18,179.508312
0.0,20,179.544511
-3.0,18,179.588961
3.0,21,179.631579
-4.0,18,179.658236
0.0,18,179.706366
2.0,18,180.238934
-3.0,18,180.2723
2.0,19,180.318093
2.0,20,180.358202
-2.0,18,180.397226
1.0,18,180.435447
0.0,19,180.47237
-1.0,19,180.514523
-2.0,20,180.559217
-3.0,19,180.590651
-3.0,18,180.632144
-2.0,18,180.672216
0.0,18,180.708346
-4.0,18,180.749832
-4.0,18,181.294079
2.0,18,181.331952
-2.0,18,181.367752
-3.0,18,181.412427
2.0,18,181.451442
-1.0,19,181.489363
2.0,20,181.53218
0.0,18,181.572103
1.0,18,181.603199
1.0,24,181.658283
3.0,18,181.692706
3.0,18,181.739817
-4.0,20,181.782213
-2.0,21,181.824356
2.0,19,182.373131
-1.0,18,182.412204
-2.0,18,182.451099
2.0,19,182.489025
0.0,20,182.531147
-4.0,18,182.567848
-2.0,18,182.602291
1.0,18,182.639996
6.0,20,182.682589
-2.0,20,182.726568
-4.0,18,182.765181
-4.0,18,182.801161
4.0,18,182.839276
-1.0,18,183.395703
-1.0,20,183.439904
4.0,24,183.4892
-3.0,20,183.530716
0.0,21,183.572187
4.0,20,183.608053
3.0,21,183.658271
0.0,22,183.704576
0.0,18,183.744331
6.0,20,183.787788
1.0,20,183.82548
0.0,19,183.867948
2.0,18,183.894452
5.0,18,184.451005
-1.0,19,184.489009
-1.0,18,184.527228
5.0,20,184.570828
3.0,18,184.60821
-1.0,20,184.643579
4.0,21,184.696626
4.0,21,184.739986
0.0,18,184.776876
-4.0,18,184.810954
-2.0,18,184.847017
-4.0,18,184.881937
2.0,18,184.9259
-4.0,18,184.957999
2.0,18,185.507991
3.0,21,185.547943
4.0,20,185.595594
-4.0,18,185.632337
0.0,20,185.674324
3.0,18,185.708007
4.0,21,185.760792
-3.0,20,185.80072
-3.0,18,185.839198
-1.0,20,185.882281
6.0,18,185.918601
-1.0,20,185.959186
-3.0,23,186.008401
-4.0,18,186.555033
0.0,20,186.59528
1.0,22,186.64309
-3.0,18,186.682244
-2.0,18,186.719314
-4.0,18,186.759682
-2.0,19,186.801155
-3.0,20,186.839317
-2.0,20,186.882293
-2.0,18,186.919866
-3.0,18,186.944552
4.0,21,186.992219
0.0,18,187.037225
-1.0,18,187.588951
2.0,18,187.628681
4.0,18,187.660485
-1.0,18,187.701774
4.0,18,187.741005
1.0,18,187.780511
-3.0,18,187.817992
4.0,18,187.848302
2.0,18,187.889265
3.0,18,187.922244
2.0,18,187.958742
1.0,20,187.996816
2.0,18,188.041688
4.0,22,188.088187
0.0,23,188.643852
1.0,21,188.691875
4.0,20,188.740985
-4.0,18,188.780434
4.0,18,188.818245
-3.0,19,188.852267
3.0,18,188.889028
-4.0,19,188.931498
-4.0,18,188.961204
-2.0,21,189.008931
3.0,18,189.049413
-4.0,20,189.093615
-1.0,18,189.132262
-4.0,18,189.676791
0.0,18,189.708281
2.0,18,189.755734
1.0,18,189.795684
-3.0,18,189.832196
-3.0,18,189.867706
-6.0,18,189.908096
1.0,18,189.939324
0.0,18,189.981203
4.0,20,190.018114
3.0,18,190.058598
4.0,18,190.094815
-3.0,18,190.132252
-3.0,20,190.176553
-2.0,18,190.737347
1.0,18,190.779678
2.0,20,190.824661
-4.0,21,190.868104
-4.0,20,190.908361
4.0,23,190.958241
-1.0,22,190.992218
0.0,18,191.04038
-1.0,18,191.078157
0.0,18,191.111633
0.0,20,191.143328
-4.0,18,191.189753
-4.0,20,191.239218
0.0,18,191.28155
2.0,20,191.881926
-3.0,18,191.917722
-4.0,18,191.958236
-1.0,21,192.00243
3.0,18,192.042444
-3.0,18,192.079425
1.0,18,192.111607
-4.0,22,192.161269
0.0,21,192.201015
-4.0,18,192.239336
-1.0,18,192.272139
4.0,18,192.317752
-3.0,18,192.348229
-4.0,18,192.902871
1.0,18,192.939302
-1.0,18,192.972135
-3.0,18,193.010444
